334832,1 1:7 2:0 3:1 4:0 5:1 6:100 7:1 8:-1 9:0 10:0 11:100 12:1 13:0 14:0
31200,1 1:1 2:0 3:1 4:0 5:1 6:100 7:0 8:0 9:0 10:0 11:100 12:1 13:0 14:0
222048,1 1:0 2:1 3:0 4:1 5:100 6:1 7:0 8:0 9:0 10:1 11:100 12:1 13:0 14:1
165518,1 1:26 2:0 3:1 4:0 5:1 6:100 7:-1 8:-1 9:0 10:0 11:100 12:1 13:0 14:0
93962,1 1:2 2:0 3:1 4:0 5:0 6:100 7:0 8:0 9:0 10:0 11:100 12:1 13:0 14:0
334969,1 1:0 2:4 3:0 4:1 5:100 6:2 7:-1 8:-1 9:0 10:0 11:100 12:1 13:0 14:0
100974,0 1:48 2:8 3:1 4:1 5:1 6:1 7:-1 8:-1 9:1 10:0 11:1 12:0 13:1 14:1
293823,1 1:0 2:3 3:0 4:1 5:100 6:1 7:-1 8:-1 9:0 10:0 11:100 12:1 13:0 14:0
102585,0 1:47 2:1 3:1 4:1 5:1 6:1 7:-1 8:-1 9:0 10:0 11:1 12:1 13:0 14:0
125330,1 1:13 2:0 3:1 4:0 5:1 6:100 7:-1 8:-1 9:0 10:0 11:100 12:1 13:0 14:0
101593,0 1:234 2:293 3:1 4:1 5:1 6:1 7:0 8:0 9:0 10:0 11:0 12:0 13:1 14:1
266957,1 1:1 2:0 3:1 4:0 5:1 6:100 7:0 8:0 9:0 10:0 11:100 12:1 13:0 14:1
101328,0 1:20 2:16 3:1 4:1 5:1 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:1
236888,1 1:38 2:0 3:1 4:0 5:1 6:100 7:-1 8:-1 9:0 10:0 11:100 12:1 13:0 14:1
102065,0 1:2 2:7 3:1 4:1 5:0 6:1 7:0 8:0 9:0 10:1 11:0 12:1 13:0 14:1
100049,0 1:43 2:26 3:1 4:1 5:1 6:1 7:1 8:-1 9:0 10:-1 11:1 12:0 13:1 14:1
327995,1 1:1 2:0 3:1 4:0 5:1 6:100 7:0 8:0 9:0 10:0 11:100 12:1 13:0 14:1
265770,1 1:1 2:0 3:1 4:0 5:1 6:100 7:0 8:0 9:0 10:0 11:100 12:1 13:0 14:1
255766,1 1:1 2:0 3:1 4:0 5:1 6:100 7:0 8:0 9:0 10:0 11:100 12:1 13:0 14:0
101223,0 1:15 2:25 3:1 4:1 5:1 6:1 7:0 8:-1 9:0 10:0 11:0 12:0 13:0 14:1
